Id,SectionId,LevelName,Type,VideoUrl,DateIssued
2133,9,10/17 - Q2 - Crim Law,0,,1900-01-01 00:00:00.0000000
2134,9,10/17 - Q1 - Torts,0,,1900-01-01 00:00:00.0000000
2135,9,7/17 - Q5 - Torts,0,,1900-01-01 00:00:00.0000000
2136,9,7/17 - Q4 - CA Civ Pro,0,,1900-01-01 00:00:00.0000000
2137,9,7/17 - Q3 - Remedies,0,,1900-01-01 00:00:00.0000000
2138,9,7/17 - Q2 - Evidence & PR,0,,1900-01-01 00:00:00.0000000
2139,9,7/17 - Q1 - Comm Prop,0,,1900-01-01 00:00:00.0000000
2140,9,6/17 - Q4 - Torts,0,,1900-01-01 00:00:00.0000000
2141,9,6/17 - Q3 - Crim Law,0,,1900-01-01 00:00:00.0000000
2142,9,6/17 - Q2 - Crim Law,0,,1900-01-01 00:00:00.0000000
2143,9,6/17 - Q1 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
2144,9,2/17 - Q6 - Crimes,0,,1900-01-01 00:00:00.0000000
2145,9,2/17 - Q5 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2146,9,2/17 - Q4 - Bus Assoc,0,,1900-01-01 00:00:00.0000000
2147,9,2/17 - Q3 - Fed Evidence,0,,1900-01-01 00:00:00.0000000
2148,9,2/17 - Q2 - Tort Rem,0,,1900-01-01 00:00:00.0000000
2149,9,2/17 - Q1 - Wills,0,,1900-01-01 00:00:00.0000000
2150,9,10/16 - Q4 - Contracts,0,,1900-01-01 00:00:00.0000000
2151,9,10/16 - Q3 - Torts,0,,1900-01-01 00:00:00.0000000
2152,9,10/16 - Q2 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2153,9,10/16 - Q1 - Crim Law,0,,1900-01-01 00:00:00.0000000
2154,9,7/16 - Q6 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2155,9,7/16 - Q5 - Comm Prop,0,,1900-01-01 00:00:00.0000000
2156,9,7/16 - Q4 - Con Law,0,,1900-01-01 00:00:00.0000000
2157,9,7/16 - Q3 - Contracts,0,,1900-01-01 00:00:00.0000000
2158,9,7/16 - Q2 - Real Prop,0,,1900-01-01 00:00:00.0000000
2159,9,7/16 - Q1 - CA Civ Pro,0,,1900-01-01 00:00:00.0000000
2160,9,6/16 - Q4 - Tort Def,0,,1900-01-01 00:00:00.0000000
2161,9,6/16 - Q3 - Not Included,0,,1900-01-01 00:00:00.0000000
2162,9,6/16 - Q2 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2163,9,6/16 - Q1 - Tort Negl,0,,1900-01-01 00:00:00.0000000
2164,9,2/16 - Q6 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
2165,9,2/16 - Q5 - CA Evidence,0,,1900-01-01 00:00:00.0000000
2166,9,2/16 - Q4 - Contract Rem,0,,1900-01-01 00:00:00.0000000
2167,9,2/16 - Q3 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2168,9,2/16 - Q2 - Int Torts,0,,1900-01-01 00:00:00.0000000
2169,9,2/16 - Q1 - Trusts,0,,1900-01-01 00:00:00.0000000
2170,9,10/15 - Q4 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2171,9,10/15 - Q3 - Tort Animal,0,,1900-01-01 00:00:00.0000000
2172,9,10/15 - Q2 - Crim Law,0,,1900-01-01 00:00:00.0000000
2173,9,10/15 - Q1 - Contract CL,0,,1900-01-01 00:00:00.0000000
2174,9,7/15 - Q6 - Con Law Takings,0,,1900-01-01 00:00:00.0000000
2175,9,7/15 - Q5 - BA & PR,0,,1900-01-01 00:00:00.0000000
2176,9,7/15 - Q4 - Comm Prop,0,,1900-01-01 00:00:00.0000000
2177,9,7/15 - Q3 - Crim Pro,0,,1900-01-01 00:00:00.0000000
2178,9,7/15 - Q2 - Real Prop,0,,1900-01-01 00:00:00.0000000
2179,9,7/15 - Q1 - Fed Civ Pro,0,,1900-01-01 00:00:00.0000000
2180,9,6/15 - Q4 - Tort Def,0,,1900-01-01 00:00:00.0000000
2181,9,6/15 - Q3 - Tort Negl,0,,1900-01-01 00:00:00.0000000
2182,9,6/15 - Q2 - Contract CL,0,,1900-01-01 00:00:00.0000000
2183,9,6/15 - Q1 - Crim Law FMR,0,,1900-01-01 00:00:00.0000000
2184,9,2/15 - Q6 - Trusts,0,,1900-01-01 00:00:00.0000000
2185,9,2/15 - Q5 - Bus Assoc,0,,1900-01-01 00:00:00.0000000
2186,9,2/15 - Q4 - Prop Rem,0,,1900-01-01 00:00:00.0000000
2187,9,2/15 - Q3 - Fed Civ Pro,0,,1900-01-01 00:00:00.0000000
2188,9,2/15 - Q2 - Real Prop,0,,1900-01-01 00:00:00.0000000
2189,9,2/15 - Q1 - Contracts UCC,0,,1900-01-01 00:00:00.0000000
2190,9,10/14 - Q4 - Contract CL,0,,1900-01-01 00:00:00.0000000
2191,9,10/14 - Q3 - Crim Law,0,,1900-01-01 00:00:00.0000000
2192,9,10/14 - Q2 - Tort Res Ipsa,0,,1900-01-01 00:00:00.0000000
2193,9,10/14 - Q1 - Contract CL,0,,1900-01-01 00:00:00.0000000
2194,9,7/14 - Q6 - Torts Negl,0,,1900-01-01 00:00:00.0000000
2195,9,7/14 - Q5 - Trusts & Comm Prop,0,,1900-01-01 00:00:00.0000000
2196,9,7/14 - Q4 - Crim Pro,0,,1900-01-01 00:00:00.0000000
2197,9,7/14 - Q3 - PR & BA,0,,1900-01-01 00:00:00.0000000
2198,9,7/14 - Q2 - Fed Evidence,0,,1900-01-01 00:00:00.0000000
2199,9,7/14 - Q1 - Contract Rem,0,,1900-01-01 00:00:00.0000000
2200,9,6/14 - Q4 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2201,9,6/14 - Q3 - Tort PL,0,,1900-01-01 00:00:00.0000000
2202,9,6/14 - Q2 - Crim Law,0,,1900-01-01 00:00:00.0000000
2203,9,6/14 - Q1 - Tort Nuis,0,,1900-01-01 00:00:00.0000000
2204,9,2/14 - Q6 - Remedies,0,,1900-01-01 00:00:00.0000000
2205,9,2/14 - Q5 - Con Law,0,,1900-01-01 00:00:00.0000000
2206,9,2/14 - Q4 - Property,0,,1900-01-01 00:00:00.0000000
2207,9,2/14 - Q3 - Fed Civ Pro,0,,1900-01-01 00:00:00.0000000
2208,9,2/14 - Q2 - Comm Prop,0,,1900-01-01 00:00:00.0000000
2209,9,2/14 - Q1 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2210,9,10/13 - Q4 - Tort Nui,0,,1900-01-01 00:00:00.0000000
2211,9,10/13 - Q3 - Contract CL,0,,1900-01-01 00:00:00.0000000
2212,9,10/13 - Q2 - Crim Law,0,,1900-01-01 00:00:00.0000000
2213,9,10/13 - Q1 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2214,9,7/13 - Q6 - Int Tort Rem,0,,1900-01-01 00:00:00.0000000
2215,9,7/13 - Q5 - Wills,0,,1900-01-01 00:00:00.0000000
2216,9,7/13 - Q4 - Contracts,0,,1900-01-01 00:00:00.0000000
2217,9,7/13 - Q3 - Comm Prop,0,,1900-01-01 00:00:00.0000000
2218,9,7/13 - Q2 - Con Law,0,,1900-01-01 00:00:00.0000000
2219,9,7/13 - Q1 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2220,9,6/13 - Q4 - Crim Law,0,,1900-01-01 00:00:00.0000000
2221,9,6/13 - Q3 - Contract UCC,0,,1900-01-01 00:00:00.0000000
2222,9,6/13 - Q2 - Torts,0,,1900-01-01 00:00:00.0000000
2223,9,6/13 - Q1 - Crim Law,0,,1900-01-01 00:00:00.0000000
2224,9,2/13 - Q6 - Bus Assoc,0,,1900-01-01 00:00:00.0000000
2225,9,2/13 - Q5 - Fed Civ Pro,0,,1900-01-01 00:00:00.0000000
2226,9,2/13 - Q4 - Torts PL,0,,1900-01-01 00:00:00.0000000
2227,9,2/13 - Q3 - Tort Rem,0,,1900-01-01 00:00:00.0000000
2228,9,2/13 - Q2 - Prof Resp,0,,1900-01-01 00:00:00.0000000
2229,9,2/13 - Q1 - Crim Law,0,,1900-01-01 00:00:00.0000000
2230,9,10/12 - Q4 - Tort Negl,0,,1900-01-01 00:00:00.0000000
2231,9,10/12 - Q3 - Contract CL,0,,1900-01-01 00:00:00.0000000
2232,9,10/12 - Q2 - Crim Law,0,,1900-01-01 00:00:00.0000000
2233,9,10/12 - Q1 - Tort Negl,0,,1900-01-01 00:00:00.0000000
2234,9,7/12 - Q6 - Crimes,0,,1900-01-01 00:00:00.0000000
2235,9,7/12 - Q5 - Wills,0,,1900-01-01 00:00:00.0000000
2236,9,7/12 - Q4 - Contracts,0,,1900-01-01 00:00:00.0000000
2237,9,7/12 - Q3 - CA Evidence,0,,1900-01-01 00:00:00.0000000
